title,genres,rating
Twinkling Watermelon,"Romance, Youth, Drama, Fantasy",9.2
Move to Heaven,"Life, Drama",9.1
Weak Hero Class 1,"Action, Youth, Drama",9.1
Hospital Playlist Season 2,"Romance, Life, Drama, Medical",9.1
Lovely Runner,"Music, Comedy, Romance, Fantasy",9.1
Nirvana in Fire,"Military, Historical, Drama, Political",9.1
Flower of Evil,"Thriller, Romance, Crime, Melodrama",9.1
Alchemy of Souls,"Action, Historical, Romance, Fantasy",9.1
Moving,"Action, Thriller, Mystery, Supernatural",9.1
Hospital Playlist,"Romance, Life, Drama, Medical",9.1
Reply 1988,"Comedy, Romance, Life, Youth",9.1
Joy of Life,"Mystery, Romance, Wuxia, Fantasy",9.0
Reset,"Thriller, Mystery, Sci-Fi",9.0
My Mister,"Psychological, Life, Drama",9.0
1 Litre no Namida,"Romance, Drama, Melodrama",9.0
Hidden Love,"Comedy, Romance, Life, Youth",9.0
Joy of Life Season 2,"Comedy, Romance, Wuxia, Fantasy",9.0
Mysterious Lotus Casebook,"Mystery, Wuxia",9.0
The Untamed,"Mystery, Wuxia, Fantasy",9.0
Under the Queen's Umbrella,"Historical, Comedy, Drama, Political",9.0
Unknown,Unknown,0.0
Unknown,Unknown,0.0
Unknown,Unknown,0.0
